School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,Unnamed: 8,Win Category
University of Missouri-Kansas City,82-c,0.82,Kansas City,32.0,16.0,16.0,0.5,,3.0
University of Montana,82-c,0.82,Montana,36.0,24.0,12.0,0.667,,4.0
University of Nebraska at Omaha,100-c,1.0,Omaha,33.0,15.0,18.0,0.455,,2.0
University of Nebraska-Lincoln,92-c,0.92,Nebraska NCAA,34.0,23.0,11.0,0.676,,4.0
University of Nevada Las Vegas,92-c,0.92,Nevada-Las Vegas,34.0,21.0,13.0,0.618,,3.0
University of Nevada Reno,100-b,1.0,Nevada NCAA,34.0,26.0,8.0,0.765,,4.0
University of New Hampshire,90-b,0.9,New Hampshire,31.0,16.0,15.0,0.516,,2.0
University of New Mexico,91-c,0.91,New Mexico NCAA,36.0,26.0,10.0,0.722,,5.0
University of New Orleans,83-c,0.83,New Orleans,33.0,10.0,23.0,0.303,,4.0
University of North Alabama,50-d,0.5,North Alabama,32.0,15.0,17.0,0.469,,4.0
University of North Carolina Asheville,73-c,0.73,UNC Asheville,34.0,22.0,12.0,0.647,,2.0
University of North Carolina Chapel Hill,82-c,0.82,North Carolina NCAA,37.0,29.0,8.0,0.784,,3.0
University of North Carolina Wilmington,83-c,0.83,UNC Wilmington,31.0,21.0,10.0,0.677,*,3.0
University of North Dakota,67-c,0.67,North Dakota,32.0,18.0,14.0,0.563,,1.0
University of North Florida,100-b,1.0,North Florida,32.0,16.0,16.0,0.5,,2.0
University of North Texas,92-c,0.92,North Texas,34.0,19.0,15.0,0.559,,4.0
University of Northern Colorado,86-b,0.86,Northern Colorado,33.0,19.0,14.0,0.576,,3.0
University of Northern Iowa,100-c,1.0,Northern Iowa,33.0,19.0,14.0,0.576,,4.0
University of Notre Dame,100-b,1.0,Notre Dame,33.0,13.0,20.0,0.394,,2.0
University of Oklahoma,86-c,0.86,Oklahoma,32.0,20.0,12.0,0.625,,2.0
University of Oregon,50-c,0.5,Oregon NCAA,36.0,24.0,12.0,0.667,,1.0
University of Pennsylvania,100-e,1.0,Pennsylvania,29.0,11.0,18.0,0.379,,4.0
University of Pittsburgh,88-b,0.88,Pittsburgh,33.0,22.0,11.0,0.667,,3.0
University of Portland,82-c,0.82,Portland,33.0,12.0,21.0,0.364,,4.0
University of Rhode Island,92-c,0.92,Rhode Island,32.0,12.0,20.0,0.375,,
University of Richmond,100-b,1.0,Richmond,33.0,23.0,10.0,0.697,,3.0
University of San Diego,100-c,1.0,San Diego,33.0,18.0,15.0,0.545,,2.0
University of San Francisco,100-c,1.0,San Francisco,34.0,23.0,11.0,0.676,,3.0
University of South Alabama,79-c,0.79,South Alabama,32.0,16.0,16.0,0.5,,1.0
University of South Carolina Columbia,75-b,0.75,South Carolina NCAA,34.0,26.0,8.0,0.765,,1.0
University of South Carolina Upstate,100-b,1.0,South Carolina Upstate,30.0,10.0,20.0,0.333,,3.0
University of South Dakota,100-b,1.0,South Dakota,32.0,12.0,20.0,0.375,,2.0
