School,Metric,All Students 2013-14,All Students 2023-24,Student-Athletes 2013-14,Student-Athletes 2023-24
Eastern Kentucky University,2007-08 Graduation Rate,,39%,,53%
Eastern Kentucky University,2017-18 Graduation Rate,55%,,64%,
Eastern Kentucky University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Eastern Kentucky University,Four-Class Average,53%,37%,61%,56%
Eastern Michigan University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Eastern Michigan University,Student-Athlete Graduation Success Rate,,,89%,75%
Eastern Michigan University,2007-08 Graduation Rate,,38%,,63%
Eastern Michigan University,2017-18 Graduation Rate,46%,,70%,
Eastern Michigan University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Eastern Michigan University,Four-Class Average,47%,38%,65%,61%
Eastern Washington University,2017-18 Graduation Rate -,,,62%,
Eastern Washington University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Eastern Washington University,Student-Athlete Graduation Success Rate,,,86%,68%
Eastern Washington University,2007-08 Graduation Rate,,45%,,47%
Eastern Washington University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Eastern Washington University,Four-Class Average,45%,46%,62%,43%
Elon University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Elon University,Student-Athlete Graduation Success Rate,,,96%,89%
Elon University,2007-08 Graduation Rate,,82%,,79%
Elon University,2017-18 Graduation Rate,83%,,82%,
Elon University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Elon University,Four-Class Average,83%,82%,81%,77%
Fairfield University,FRESHMAN-COHORT GRADUATION RATES All Students,,,Student-Athletes,
Fairfield University,Student-Athlete Graduation Success Rate,,,94%,96%
Fairfield University,2007-08 Graduation Rate,,82%,,77%
Fairfield University,2017-18 Graduation Rate,84%,,82%,
Fairfield University,FRESHMAN-COHORT GRADUATION RATES All,,Students Studen,,t-Ath
Fairfield University,Four-Class Average,84%,82%,77%,78%
Fairleigh Dickinson University Metropolitan Campus,Student-Athlete Graduation Success Rate,,,,67%
Fairleigh Dickinson University Metropolitan Campus,2007-08 Graduation Rate,,47%,,65%
