Race,val1_All,val2_All,val3_All,val4_All,val5_All,val6_All,val7_All,val8_All,val9_All,val10_All,val11_All,val12_All,Source_All,School_All,val1_SA,val2_SA,val3_SA,val4_SA,val5_SA,val6_SA,val7_SA,val8_SA,val9_SA,val10_SA,val11_SA,val12_SA,val13,val14,val15,val16,val17,val18,Source_SA,School_SA,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50
Total,896,39,3306,31,1035,44,3832,34,1931,41,7138,33,All Students,Boise State University,31,77,115,67,133,79,36,56,116,59,124,79,67,66,231,63,257,79,Student-Athletes,Boise State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,100,7,100,4,100,20,100,7,100,27,100,All Students,Boston College,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,155,87,444,86,106,92,423,93,261,89,867,89,All Students,Boston College,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,41,76,225,77,84,88,321,85,125,84,546,82,All Students,Boston College,***,***,40,60,36,81,***,***,5,60,4,100,***,***,45,60,40,83,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,77,88,309,90,104,88,452,93,181,88,761,91,All Students,Boston College,***,***,4,25,5,100,***,***,7,86,7,100,***,***,11,64,12,100,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Boston College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,21,81,104,74,24,92,104,91,45,87,208,83,All Students,Boston College,0,-,10,60,7,100,4,100,13,77,12,92,4,100,23,70,19,95,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Boston College,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,18,94,150,88,23,87,166,93,41,90,316,91,All Students,Boston College,***,***,***,***,12,100,***,***,***,***,5,100,***,***,***,***,17,100,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,828,92,3230,92,799,93,3233,93,1627,93,6463,93,All Students,Boston College,30,80,82,74,172,95,35,83,132,84,133,98,65,82,214,80,305,96,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1143,90,4469,90,1144,92,4719,93,2287,91,9188,91,All Students,Boston College,42,71,146,69,235,93,43,79,167,83,167,98,85,75,313,76,402,95,Student-Athletes,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,100,20,85,4,75,40,80,8,88,60,82,All Students,Boston University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,253,85,965,85,379,89,1292,86,632,88,2257,86,All Students,Boston University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,31,74,137,78,70,86,292,80,101,82,429,80,All Students,Boston University,***,***,8,63,9,89,***,***,8,88,8,88,***,***,16,75,17,88,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,110,77,413,80,189,82,752,82,299,80,1165,81,All Students,Boston University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,19,74,***,***,53,91,***,***,72,86,All Students,Boston University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,140,86,481,79,146,82,523,84,286,84,1004,81,All Students,Boston University,4,75,17,94,22,100,7,71,18,67,21,90,11,73,35,80,43,95,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Boston University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,879,84,***,***,1464,85,***,***,2343,85,All Students,Boston University,***,***,3,33,***,***,***,***,6,83,***,***,***,***,9,67,***,***,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,924,86,3668,84,1452,84,5850,85,2376,85,9518,84,All Students,Boston University,18,72,71,70,61,90,27,96,120,87,110,97,45,87,191,81,171,95,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1627,84,6582,83,2536,85,10266,85,4163,84,16848,84,All Students,Boston University,27,74,101,73,96,93,44,91,159,85,153,96,71,85,260,80,249,95,Student-Athletes,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,8,25,56,36,9,56,58,48,17,41,114,42,All Students,Bowling Green State University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,10,60,61,44,14,57,64,67,24,58,125,56,All Students,Bowling Green State University,0,-,***,***,3,100,0,-,***,***,3,100,0,-,***,***,6,100,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,159,35,652,43,255,47,991,51,414,43,1643,48,All Students,Bowling Green State University,15,27,65,42,57,58,7,43,15,40,10,70,22,32,80,41,67,60,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,48,52,247,46,52,40,295,50,100,46,542,48,All Students,Bowling Green State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bowling Green State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,32,34,83,53,8,50,51,61,40,38,134,56,All Students,Bowling Green State University,4,75,14,71,13,92,0,-,6,83,6,100,4,75,20,75,19,95,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bowling Green State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,42,64,178,58,33,58,184,63,75,61,362,61,All Students,Bowling Green State University,***,***,***,***,4,100,***,***,***,***,3,67,***,***,***,***,7,86,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1139,51,4998,55,1424,61,6339,64,2563,56,11337,60,All Students,Bowling Green State University,19,58,84,70,80,90,36,83,123,83,112,95,55,75,207,78,192,93,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1438,49,6275,53,1795,58,7982,61,3233,54,14257,58,All Students,Bowling Green State University,38,47,171,60,161,80,44,77,150,79,136,93,82,63,321,69,297,86,Student-Athletes,Bowling Green State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,67,5,80,3,100,8,100,6,83,13,92,All Students,Bradley University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,20,90,72,78,29,93,91,81,49,92,163,80,All Students,Bradley University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,21,62,80,58,51,51,192,56,72,54,272,57,All Students,Bradley University,***,***,4,50,7,71,***,***,6,83,9,100,***,***,10,70,16,88,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,18,72,49,65,27,81,85,82,45,78,134,76,All Students,Bradley University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bradley University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,***,***,13,69,***,***,8,88,***,***,21,76,All Students,Bradley University,***,***,4,25,6,83,***,***,3,100,4,100,***,***,7,57,10,90,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bradley University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,28,75,***,***,31,87,***,***,59,81,All Students,Bradley University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,413,72,1600,75,481,80,2031,78,894,76,3631,76,All Students,Bradley University,11,45,40,58,46,87,12,83,64,81,60,95,23,65,104,72,106,92,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,481,72,1847,74,598,78,2446,77,1079,76,4293,75,All Students,Bradley University,15,47,52,56,63,84,17,88,75,83,75,96,32,69,127,72,138,91,Student-Athletes,Bradley University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,6,50,***,***,46,57,***,***,52,56,All Students,Brigham Young University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,15,60,65,71,40,70,170,77,55,67,235,75,All Students,Brigham Young University,***,***,17,29,19,26,***,***,8,50,8,50,***,***,25,36,27,33,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,4,25,16,38,7,71,31,84,11,55,47,68,All Students,Brigham Young University,***,***,15,20,17,41,***,***,4,25,4,50,***,***,19,21,21,43,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,22,82,119,73,104,68,418,72,126,71,537,72,All Students,Brigham Young University,***,***,7,71,12,67,***,***,7,71,6,83,***,***,14,71,18,72,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,5,20,16,38,9,56,55,60,14,43,71,55,All Students,Brigham Young University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,32,75,74,70,64,59,148,66,96,65,222,68,All Students,Brigham Young University,0,-,4,75,7,57,0,-,8,100,12,100,0,-,12,92,19,84,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,20,45,75,61,53,81,235,71,73,71,310,69,All Students,Brigham Young University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,67,69,***,***,244,73,***,***,311,72,All Students,Brigham Young University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,659,79,2677,81,2029,80,8177,78,2688,80,10854,79,All Students,Brigham Young University,15,73,64,58,74,72,29,93,109,81,110,88,44,86,173,72,184,82,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,775,77,3115,79,2343,78,9524,77,3118,78,12639,78,All Students,Brigham Young University,25,56,109,50,134,58,33,88,141,78,146,86,58,74,250,66,280,73,Student-Athletes,Brigham Young University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,100,11,91,4,100,22,91,7,100,33,91,All Students,Brown University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,94,94,347,95,145,96,486,97,239,95,833,96,All Students,Brown University,0,-,0,-,10,100,0,-,0,-,23,96,0,-,0,-,33,97,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,34,91,158,88,53,94,208,93,87,93,366,91,All Students,Brown University,0,-,0,-,30,100,0,-,0,-,19,95,0,-,0,-,49,98,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,56,93,202,90,89,89,324,93,145,90,526,92,All Students,Brown University,0,-,0,-,10,100,0,-,0,-,18,94,0,-,0,-,28,96,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Brown University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,60,92,197,90,60,88,211,95,120,90,408,92,All Students,Brown University,0,-,0,-,22,95,0,-,0,-,16,94,0,-,0,-,38,95,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,10,100,34,94,31,100,77,100,41,100,111,98,All Students,Brown University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Brown University,0,-,0,-,29,97,0,-,0,-,50,94,0,-,0,-,79,95,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,342,96,1541,96,347,96,1392,97,689,96,2933,96,All Students,Brown University,0,-,0,-,294,98,0,-,0,-,259,98,0,-,0,-,553,98,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,665,94,2778,94,816,95,3035,96,1481,94,5813,95,All Students,Brown University,0,-,0,-,398,98,0,-,0,-,388,97,0,-,0,-,786,98,Student-Athletes,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Bryant University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,15,80,54,83,10,70,46,78,25,76,100,81,All Students,Bryant University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,12,75,52,81,17,88,43,81,29,83,95,81,All Students,Bryant University,***,***,***,***,40,85,***,***,***,***,4,75,***,***,***,***,44,84,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,14,79,62,63,13,85,54,81,27,81,116,72,All Students,Bryant University,***,***,5,80,8,88,***,***,4,75,5,80,***,***,9,78,13,85,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bryant University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,19,74,55,64,18,83,34,85,37,78,89,72,All Students,Bryant University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,Bryant University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,17,82,***,***,5,80,***,***,22,82,***,***,All Students,Bryant University,0,-,***,***,9,89,0,-,***,***,4,100,0,-,***,***,13,92,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,402,84,1583,80,307,80,1161,80,709,82,2744,80,All Students,Bryant University,41,85,120,69,288,90,25,68,75,72,170,96,66,79,195,70,458,92,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,479,83,1864,79,370,80,1374,80,849,82,3238,79,All Students,Bryant University,48,88,155,73,355,90,27,70,84,73,186,95,75,81,239,73,541,92,Student-Athletes,Bryant University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,3,67,***,***,0,-,***,***,3,67,***,***,All Students,Bucknell University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,14,79,110,89,15,93,109,88,29,86,219,89,All Students,Bucknell University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,20,65,66,85,10,70,35,83,30,67,101,84,All Students,Bucknell University,***,***,17,82,18,83,***,***,9,100,9,100,***,***,26,88,27,89,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,16,88,70,80,16,88,58,93,32,88,128,86,All Students,Bucknell University,***,***,5,80,4,100,***,***,6,100,6,100,***,***,11,91,10,100,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Bucknell University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,12,100,50,92,5,80,36,86,17,94,86,90,All Students,Bucknell University,0,-,6,83,***,***,0,-,3,67,***,***,0,-,9,78,***,***,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,5,100,24,92,10,100,44,100,15,100,68,97,All Students,Bucknell University,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,12,75,59,78,6,100,45,96,18,83,104,86,All Students,Bucknell University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,364,91,1396,91,379,93,1517,93,743,92,2913,92,All Students,Bucknell University,29,93,92,91,110,97,29,90,109,95,110,98,58,91,201,94,220,98,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,446,89,1783,90,441,92,1851,92,887,91,3634,91,All Students,Bucknell University,40,85,125,88,144,94,33,91,131,95,132,98,73,88,256,92,276,96,Student-Athletes,Bucknell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,***,***,3,33,***,***,5,60,***,***,8,50,All Students,Butler University,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,13,62,30,73,13,38,49,63,26,50,79,67,All Students,Butler University,***,***,0,-,***,***,***,***,3,67,***,***,***,***,3,67,***,***,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,14,36,46,57,22,77,73,64,36,61,119,61,All Students,Butler University,***,***,4,75,11,73,***,***,10,90,11,100,***,***,14,86,22,86,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,4,50,29,55,13,69,49,65,17,65,78,62,All Students,Butler University,***,***,***,***,4,100,***,***,***,***,4,75,***,***,***,***,8,88,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,0,-,***,***,0,-,***,***,0,-,***,***,All Students,Butler University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,12,50,54,65,15,67,53,64,27,59,107,64,All Students,Butler University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,3,100,0,-,3,100,All Students,Butler University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,Butler University,0,-,***,***,4,75,0,-,***,***,7,86,0,-,***,***,11,82,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,324,74,1215,73,539,77,2012,77,863,76,3227,75,All Students,Butler University,20,75,72,60,164,83,15,87,61,85,83,96,35,80,133,71,247,87,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,374,71,1418,71,612,76,2321,75,986,74,3739,74,All Students,Butler University,22,77,86,57,185,82,21,86,84,82,108,95,43,81,170,69,293,87,Student-Athletes,Butler University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,22,59,58,60,15,73,50,78,37,65,108,69,All Students,California Polytechnic State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,354,61,1086,64,199,78,638,81,553,67,1724,70,All Students,California Polytechnic State University,***,***,3,100,4,100,***,***,3,67,3,67,***,***,6,83,7,86,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,33,58,106,56,15,47,60,72,48,54,166,61,All Students,California Polytechnic State University,8,38,33,64,36,67,5,20,17,47,16,56,13,31,50,58,52,63,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,311,55,880,56,198,72,612,75,509,61,1492,64,All Students,California Polytechnic State University,***,***,15,53,15,60,***,***,8,75,7,100,***,***,23,61,22,73,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,12,75,37,65,7,71,32,69,19,74,69,67,All Students,California Polytechnic State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,11,73,40,70,5,100,25,92,16,81,65,78,All Students,California Polytechnic State University,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,California Polytechnic State University,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,211,71,749,68,163,85,578,82,374,77,1327,74,All Students,California Polytechnic State University,0,-,8,50,11,45,0,-,6,83,5,100,0,-,14,64,16,63,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,1574,68,5280,71,1283,81,4412,82,2857,74,9692,76,All Students,California Polytechnic State University,42,71,130,64,144,73,23,78,82,79,77,90,65,74,212,70,221,79,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2528,66,8236,68,1885,80,6407,81,4413,72,14643,74,All Students,California Polytechnic State University,56,68,192,63,215,69,29,66,121,75,113,86,85,67,313,67,328,75,Student-Athletes,California Polytechnic State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am. Ind./AN,4,25,13,38,5,40,19,42,9,33,32,41,All Students,California State University Bakersfield,0,-,***,***,***,***,0,-,***,***,***,***,0,-,***,***,***,***,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,24,42,73,37,34,41,140,45,58,41,213,42,All Students,California State University Bakersfield,3,0,5,20,***,***,0,-,3,33,***,***,3,0,8,25,***,***,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,39,23,122,20,53,32,209,30,92,28,331,26,All Students,California State University Bakersfield,***,***,8,50,10,70,***,***,12,50,13,62,***,***,20,50,23,65,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,128,26,453,36,309,46,993,46,437,40,1446,42,All Students,California State University Bakersfield,***,***,14,21,16,25,***,***,10,60,12,75,***,***,24,38,28,46,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nat. Haw./PI,***,***,***,***,***,***,***,***,***,***,***,***,All Students,California State University Bakersfield,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-R Alien,5,20,14,21,5,40,20,55,10,30,34,41,All Students,California State University Bakersfield,0,-,0,-,***,***,0,-,0,-,***,***,0,-,0,-,***,***,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two or More,0,-,0,-,0,-,0,-,0,-,0,-,All Students,California State University Bakersfield,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,***,***,***,***,***,***,***,***,***,***,***,***,All Students,California State University Bakersfield,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,74,35,337,36,145,49,558,48,219,44,895,44,All Students,California State University Bakersfield,17,53,42,50,57,70,22,55,64,55,77,77,39,54,106,53,134,74,Student-Athletes,California State University Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
