School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,
Villanova University,100-b,1,Villanova,34,18,16,0.529,
Virginia Commonwealth University,100-c,1,Virginia Commonwealth,38,24,14,0.632,
Virginia Military Institute,100-b,1,VMI,32,4,28,0.125,
Virginia Polytechnic Institute and State University,100-b,1,Virginia Tech,34,19,15,0.559,
Wagner College,100-b,1,Wagner NCAA,33,17,16,0.515,
Wake Forest University,80-a,0.8,Wake Forest,35,21,14,0.6,
Washington State University,100-c,1,Washington State NCAA,35,25,10,0.714,
Weber State University,70-b,0.7,Weber State,32,20,12,0.625,
West Virginia University,100-c,1,West Virginia,32,9,23,0.281,
Western Carolina University,90-b,0.9,Western Carolina,32,22,10,0.688,
Western Illinois University,87-c,0.87,Western Illinois,33,21,12,0.636,
Western Kentucky University,69-c,0.69,Western Kentucky NCAA,34,22,12,0.647,
Western Michigan University,86-c,0.86,Western Michigan,32,12,20,0.375,
Wichita State University,60-b,0.6,Wichita State,34,15,19,0.441,
William & Mary,100-b,1,William & Mary,33,10,23,0.303,
Winthrop University,82-c,0.82,Winthrop,32,17,15,0.531,
Wofford College,91-c,0.91,Wofford,32,17,15,0.531,
Wright State University,89-b,0.89,Wright State,32,18,14,0.563,
Xavier University,70-b,0.7,Xavier,34,16,18,0.471,
Yale University,100-d,1,Yale NCAA,33,23,10,0.697,
Youngstown State University,82-c,0.82,Youngstown State,32,22,10,0.688,
